route_id,route_short_name,route_long_name,route_corridor_name,service_type,route_display_name,is_special_route,delay_risk,recommended_action,records,share_pct
147-203,147,147,147 - Waitakere Township / Henderson,Bus,147,False,Medium,Monitor route conditions,1967,0.0589
147-203,147,147,147 - Waitakere Township / Henderson,Bus,147,False,High,Adjust service headway,68,0.002
147-203,147,147,147 - Waitakere Township / Henderson,Bus,147,False,Severe,Deploy standby bus or supervisor review,47,0.0014
148-203,148,148,148 - Ranui / Lincoln Rd,Bus,148,False,Low,No operational action required,3645,0.1092
148-203,148,148,148 - Ranui / Lincoln Rd,Bus,148,False,Medium,Monitor route conditions,674,0.0202
148-203,148,148,148 - Ranui / Lincoln Rd,Bus,148,False,Severe,Deploy standby bus or supervisor review,8,0.0002
149-203,149,149,149 - Ranui / New Lynn Via Rosebank,Bus,149,False,Low,No operational action required,7393,0.2215
149-203,149,149,149 - Ranui / New Lynn Via Rosebank,Bus,149,False,Medium,Monitor route conditions,3154,0.0945
149-203,149,149,149 - Ranui / New Lynn Via Rosebank,Bus,149,False,High,Adjust service headway,126,0.0038
152-203,152,152,152 - Henderson / New Lynn via Sunnyvale and Glen Eden,Bus,152,False,Low,No operational action required,9506,0.2847
152-203,152,152,152 - Henderson / New Lynn via Sunnyvale and Glen Eden,Bus,152,False,Medium,Monitor route conditions,1483,0.0444
152-203,152,152,152 - Henderson / New Lynn via Sunnyvale and Glen Eden,Bus,152,False,High,Adjust service headway,37,0.0011
152-203,152,152,152 - Henderson / New Lynn via Sunnyvale and Glen Eden,Bus,152,False,Severe,Deploy standby bus or supervisor review,28,0.0008
154-203,154,154,154 - New Lynn / Henderson via Glen Eden,Bus,154,False,Low,No operational action required,11691,0.3502
154-203,154,154,154 - New Lynn / Henderson via Glen Eden,Bus,154,False,Medium,Monitor route conditions,2695,0.0807
154-203,154,154,154 - New Lynn / Henderson via Glen Eden,Bus,154,False,High,Adjust service headway,41,0.0012
154-203,154,154,154 - New Lynn / Henderson via Glen Eden,Bus,154,False,Severe,Deploy standby bus or supervisor review,50,0.0015
161-203,161,161,161 - Brains Park / New Lynn,Bus,161,False,Low,No operational action required,5360,0.1606
161-203,161,161,161 - Brains Park / New Lynn,Bus,161,False,Medium,Monitor route conditions,339,0.0102
162-202,162,162,162 - Henderson / New Lynn via Glendene,Bus,162,False,Low,No operational action required,12454,0.3731
162-202,162,162,162 - Henderson / New Lynn via Glendene,Bus,162,False,Medium,Monitor route conditions,2195,0.0658
162-202,162,162,162 - Henderson / New Lynn via Glendene,Bus,162,False,High,Adjust service headway,4,0.0001
162-202,162,162,162 - Henderson / New Lynn via Glendene,Bus,162,False,Severe,Deploy standby bus or supervisor review,28,0.0008
170-203,170,170,170 - Titirangi South / New Lynn,Bus,170,False,Low,No operational action required,5676,0.17
170-203,170,170,170 - Titirangi South / New Lynn,Bus,170,False,Medium,Monitor route conditions,346,0.0104
170-203,170,170,170 - Titirangi South / New Lynn,Bus,170,False,High,Adjust service headway,5,0.0001
170-203,170,170,170 - Titirangi South / New Lynn,Bus,170,False,Severe,Deploy standby bus or supervisor review,1,0.0
171-203,171,171,171 - Laingholm / New Lynn,Bus,171,False,Low,No operational action required,2702,0.0809
171-203,171,171,171 - Laingholm / New Lynn,Bus,171,False,Medium,Monitor route conditions,1181,0.0354
171-203,171,171,171 - Laingholm / New Lynn,Bus,171,False,High,Adjust service headway,58,0.0017
172-203,172,172,172 - Glen Eden / New Lynn via Titirangi,Bus,172,False,Low,No operational action required,10473,0.3137
172-203,172,172,172 - Glen Eden / New Lynn via Titirangi,Bus,172,False,Medium,Monitor route conditions,1274,0.0382
172-203,172,172,172 - Glen Eden / New Lynn via Titirangi,Bus,172,False,High,Adjust service headway,44,0.0013
172-203,172,172,172 - Glen Eden / New Lynn via Titirangi,Bus,172,False,Severe,Deploy standby bus or supervisor review,12,0.0004
18-202,18,18,18 - City Centre / New Lynn Via Great North Rd,Bus,18,False,Low,No operational action required,33417,1.001
18-202,18,18,18 - City Centre / New Lynn Via Great North Rd,Bus,18,False,Medium,Monitor route conditions,10429,0.3124
18-202,18,18,18 - City Centre / New Lynn Via Great North Rd,Bus,18,False,High,Adjust service headway,110,0.0033
18-202,18,18,18 - City Centre / New Lynn Via Great North Rd,Bus,18,False,Severe,Deploy standby bus or supervisor review,11,0.0003
186-203,186,186,186 - South Lynn Loop,Bus,186,False,Low,No operational action required,5309,0.159
186-203,186,186,186 - South Lynn Loop,Bus,186,False,Medium,Monitor route conditions,501,0.015
186-203,186,186,186 - South Lynn Loop,Bus,186,False,High,Adjust service headway,18,0.0005
186-203,186,186,186 - South Lynn Loop,Bus,186,False,Severe,Deploy standby bus or supervisor review,14,0.0004
