route_id,route_short_name,route_long_name,route_corridor_name,service_type,route_display_name,is_special_route,delay_risk,recommended_action,records,share_pct
191-203,191,191,191 - Lynfield / New Lynn Via Blockhouse Bay And Avondale,Bus,191,False,Low,No operational action required,5155,0.1544
191-203,191,191,191 - Lynfield / New Lynn Via Blockhouse Bay And Avondale,Bus,191,False,Medium,Monitor route conditions,1720,0.0515
191-203,191,191,191 - Lynfield / New Lynn Via Blockhouse Bay And Avondale,Bus,191,False,High,Adjust service headway,106,0.0032
191-203,191,191,191 - Lynfield / New Lynn Via Blockhouse Bay And Avondale,Bus,191,False,Severe,Deploy standby bus or supervisor review,22,0.0007
195-203,195,195,195 - New Lynn / City Centre Via Green Bay,Bus,195,False,Low,No operational action required,14592,0.4371
195-203,195,195,195 - New Lynn / City Centre Via Green Bay,Bus,195,False,Medium,Monitor route conditions,6439,0.1929
195-203,195,195,195 - New Lynn / City Centre Via Green Bay,Bus,195,False,High,Adjust service headway,243,0.0073
195-203,195,195,195 - New Lynn / City Centre Via Green Bay,Bus,195,False,Severe,Deploy standby bus or supervisor review,131,0.0039
20-202,20,20,20 - St Lukes / Wynyard Quarter Via Kingsland,Bus,20,False,Low,No operational action required,19701,0.5901
20-202,20,20,20 - St Lukes / Wynyard Quarter Via Kingsland,Bus,20,False,Medium,Monitor route conditions,3474,0.1041
20-202,20,20,20 - St Lukes / Wynyard Quarter Via Kingsland,Bus,20,False,High,Adjust service headway,34,0.001
20-202,20,20,20 - St Lukes / Wynyard Quarter Via Kingsland,Bus,20,False,Severe,Deploy standby bus or supervisor review,12,0.0004
209-203,209,209,209 - City Centre / Titirangi via New North Rd and Green Bay,Bus,209,False,Low,No operational action required,1650,0.0494
209-203,209,209,209 - City Centre / Titirangi via New North Rd and Green Bay,Bus,209,False,Medium,Monitor route conditions,1069,0.032
209-203,209,209,209 - City Centre / Titirangi via New North Rd and Green Bay,Bus,209,False,High,Adjust service headway,50,0.0015
22N-202,22N,22N,22N - New Lynn / City Centre Via New North Rd,Bus,22N,False,Low,No operational action required,12465,0.3734
22N-202,22N,22N,22N - New Lynn / City Centre Via New North Rd,Bus,22N,False,Medium,Monitor route conditions,8353,0.2502
