route_id,route_short_name,route_display_name,route_corridor_name,service_type,is_special_route,ai_delay_risk,ai_recommended_action,ai_confidence_band,records,share_pct
314-203,314,314,314 - Ormiston / Middlemore Station Via Otara,Bus,False,Low,No operational action required,Low action probability,3735,0.1119
314-203,314,314,314 - Ormiston / Middlemore Station Via Otara,Bus,False,Medium,Monitor route conditions,Moderate action probability,8644,0.2589
32-203,32,32,32 - Mangere Town Centre / Sylvia Park via Otahuhu,Bus,False,Low,No operational action required,Low action probability,9019,0.2702
32-203,32,32,32 - Mangere Town Centre / Sylvia Park via Otahuhu,Bus,False,Medium,Monitor route conditions,Moderate action probability,17565,0.5262
321-202,321,321,321 - Middlemore Station / Britomart Via Greenlane Hospital,Bus,False,Low,No operational action required,Low action probability,355,0.0106
321-202,321,321,321 - Middlemore Station / Britomart Via Greenlane Hospital,Bus,False,Medium,Monitor route conditions,Moderate action probability,11354,0.3401
321-202,321,321,321 - Middlemore Station / Britomart Via Greenlane Hospital,Bus,False,High,Adjust service headway,High action probability,48,0.0014
323-221,323,323,323 - Otahuhu Station / Panmure Via Panama Rd,Bus,False,Low,No operational action required,Low action probability,11972,0.3586
323-221,323,323,323 - Otahuhu Station / Panmure Via Panama Rd,Bus,False,Medium,Monitor route conditions,Moderate action probability,4567,0.1368
324-203,324,324,324 - Mangere Town Centre / Seaside Park Via Otahuhu,Bus,False,Low,No operational action required,Low action probability,3527,0.1056
324-203,324,324,324 - Mangere Town Centre / Seaside Park Via Otahuhu,Bus,False,Medium,Monitor route conditions,Moderate action probability,7015,0.2101
325-203,325,325,325 - Mangere Town Ctr / Manukau Station Via Otahuhu & Otara,Bus,False,Low,No operational action required,Low action probability,5046,0.1512
325-203,325,325,325 - Mangere Town Ctr / Manukau Station Via Otahuhu & Otara,Bus,False,Medium,Monitor route conditions,Moderate action probability,21015,0.6295
326-203,326,326,326 - Mangere Town Centre / Middlemore via Earlsworth Rd (C),Bus,False,Low,No operational action required,Low action probability,1928,0.0578
326-203,326,326,326 - Mangere Town Centre / Middlemore via Earlsworth Rd (C),Bus,False,Medium,Monitor route conditions,Moderate action probability,2842,0.0851
326-203,326,326,326 - Mangere Town Centre / Middlemore via Earlsworth Rd (C),Bus,False,High,Adjust service headway,High action probability,8150,0.2441
326-203,326,326,326 - Mangere Town Centre / Middlemore via Earlsworth Rd (C),Bus,False,Severe,Deploy standby bus or supervisor review,Severe action probability,297,0.0089
327-203,missing,327-203,327-203,Unknown / unmatched route,False,Low,No operational action required,Low action probability,611,0.0183
327-203,missing,327-203,327-203,Unknown / unmatched route,False,Medium,Monitor route conditions,Moderate action probability,1752,0.0525
33-203,33,33,33 - Papakura Interchange / Otahuhu Station Via Great South Rd,Bus,False,Low,No operational action required,Low action probability,15373,0.4605
33-203,33,33,33 - Papakura Interchange / Otahuhu Station Via Great South Rd,Bus,False,Medium,Monitor route conditions,Moderate action probability,24585,0.7364
35-205,35,35,35 - Ormiston / Botany Via Chapel Rd,Bus,False,Low,No operational action required,Low action probability,9655,0.2892
35-205,35,35,35 - Ormiston / Botany Via Chapel Rd,Bus,False,Medium,Monitor route conditions,Moderate action probability,16568,0.4963
351-205,351,351,351 - Botany / Otahuhu Station Via Highbrook,Bus,False,Low,No operational action required,Low action probability,2021,0.0605
351-205,351,351,351 - Botany / Otahuhu Station Via Highbrook,Bus,False,Medium,Monitor route conditions,Moderate action probability,7064,0.2116
352-205,352,352,352 - Manukau Bus Station / Panmure Via Flat Bush,Bus,False,Low,No operational action required,Low action probability,935,0.028
352-205,352,352,352 - Manukau Bus Station / Panmure Via Flat Bush,Bus,False,Medium,Monitor route conditions,Moderate action probability,8637,0.2587
353-205,353,353,353 - Manukau Bus Station / Botany Town Centre Via Preston Rd,Bus,False,Low,No operational action required,Low action probability,5384,0.1613
353-205,353,353,353 - Manukau Bus Station / Botany Town Centre Via Preston Rd,Bus,False,Medium,Monitor route conditions,Moderate action probability,8476,0.2539
355-205,355,355,355 - Botany / Manukau Bus Station Via Mission Heights & Ormiston,Bus,False,Low,No operational action required,Low action probability,7335,0.2197
355-205,355,355,355 - Botany / Manukau Bus Station Via Mission Heights & Ormiston,Bus,False,Medium,Monitor route conditions,Moderate action probability,11134,0.3335
36-203,36,36,36 - Manukau / Onehunga via Mangere Town Centre,Bus,False,Low,No operational action required,Low action probability,10042,0.3008
36-203,36,36,36 - Manukau / Onehunga via Mangere Town Centre,Bus,False,Medium,Monitor route conditions,Moderate action probability,19373,0.5803
362-203,362,362,362 - Manukau Bus Station / Weymouth Via Great South Rd,Bus,False,Low,No operational action required,Low action probability,12882,0.3859
362-203,362,362,362 - Manukau Bus Station / Weymouth Via Great South Rd,Bus,False,Medium,Monitor route conditions,Moderate action probability,2870,0.086
363-203,363,363,363 - Manurewa Interchange / Wattle Downs Loop,Bus,False,Low,No operational action required,Low action probability,6531,0.1956
363-203,363,363,363 - Manurewa Interchange / Wattle Downs Loop,Bus,False,Medium,Monitor route conditions,Moderate action probability,756,0.0226
364-203,364,364,364 - Papakura Station / Manurewa Station via Takaanini,Bus,False,Low,No operational action required,Low action probability,11243,0.3368
364-203,364,364,364 - Papakura Station / Manurewa Station via Takaanini,Bus,False,Medium,Monitor route conditions,Moderate action probability,4387,0.1314
365-203,365,365,365 - Papakura Interchange / Manukau Bus Station Via Porchester,Bus,False,Low,No operational action required,Low action probability,7397,0.2216
365-203,365,365,365 - Papakura Interchange / Manukau Bus Station Via Porchester,Bus,False,Medium,Monitor route conditions,Moderate action probability,12888,0.3861
366-203,366,366,366 - Manurewa Interchange / Manukau Bus Station Via The Gardens,Bus,False,Low,No operational action required,Low action probability,6247,0.1871
366-203,366,366,366 - Manurewa Interchange / Manukau Bus Station Via The Gardens,Bus,False,Medium,Monitor route conditions,Moderate action probability,11366,0.3405
37-203,37,37,"37 - Manurewa / Highbrook via Roscommon, Puhinui and Preston Rd",Bus,False,Low,No operational action required,Low action probability,23477,0.7032
37-203,37,37,"37 - Manurewa / Highbrook via Roscommon, Puhinui and Preston Rd",Bus,False,Medium,Monitor route conditions,Moderate action probability,6712,0.2011
372-203,372,372,372 - Papakura Shops / Keri Hill Loop,Bus,False,Low,No operational action required,Low action probability,6925,0.2074
372-203,372,372,372 - Papakura Shops / Keri Hill Loop,Bus,False,Medium,Monitor route conditions,Moderate action probability,826,0.0247
373-203,373,373,373 - Red Hill / Papakura Shops,Bus,False,Low,No operational action required,Low action probability,5867,0.1757
373-203,373,373,373 - Red Hill / Papakura Shops,Bus,False,Medium,Monitor route conditions,Moderate action probability,64,0.0019
376-203,376,376,376 - Papakura Shops / Auranga Dr Via Drury,Bus,False,Low,No operational action required,Low action probability,3305,0.099
376-203,376,376,376 - Papakura Shops / Auranga Dr Via Drury,Bus,False,Medium,Monitor route conditions,Moderate action probability,5577,0.1671
377-203,377,377,377 - Papakura Interchange / Park Estate Loop,Bus,False,Low,No operational action required,Low action probability,78,0.0023
377-203,377,377,377 - Papakura Interchange / Park Estate Loop,Bus,False,Medium,Monitor route conditions,Moderate action probability,6008,0.18
