service_type,route_display_name,route_corridor_name,route_id,is_special_route,delay_risk,recommended_action,records,unique_trips,avg_delay_minutes,max_delay_minutes
Unknown / unmatched route,S058A-203,S058A-203,S058A-203,true,Medium,Monitor route conditions,32,1,1.25,7.75
Bus,152,152 - Henderson / New Lynn via Sunnyvale and Glen Eden,152-203,false,Severe,Deploy standby bus or supervisor review,32,5,41.58,57.967
Bus,906,906 - Constellation / Smales Farm Via Windy Ridge And Archers Rd,906-203,false,Severe,Deploy standby bus or supervisor review,32,4,30.01,60.7
Unknown / unmatched route,S046B-203,S046B-203,S046B-203,true,High,Adjust service headway,32,1,17.549,24.9
Unknown / unmatched route,S437-221,S437-221,S437-221,true,Medium,Monitor route conditions,32,1,-0.704,13.433
Unknown / unmatched route,S046D-221,S046D-221,S046D-221,true,High,Adjust service headway,31,1,20.442,24.267
Unknown / unmatched route,S028B-207,S028B-207,S028B-207,true,High,Adjust service headway,31,1,-16.145,-15.017
Bus,396,396 - Waiuku / Pukekohe Interchange Via Kitchener Rd And Patumaho,396-203,false,High,Adjust service headway,30,11,17.319,21.583
Bus,861,861 - Long Bay / Constellation Station Via Bush Rd,861-203,false,Severe,Deploy standby bus or supervisor review,30,3,30.127,78.65
Bus,RBO,RBO - Newmarket / Onehunga Onehunga Rail Bus,RBO-402,false,Severe,Deploy standby bus or supervisor review,30,5,29.253,32.967
Unknown / unmatched route,S059-203,S059-203,S059-203,true,Medium,Monitor route conditions,30,1,6.441,8.267
Unknown / unmatched route,S044A-221,S044A-221,S044A-221,true,Medium,Monitor route conditions,30,1,-1.798,10.25
Bus,782,782 - Sylvia Park / Mission Bay Via Ellerslie And Meadowbank,782-221,false,High,Adjust service headway,30,7,-1.529,23.35
Unknown / unmatched route,S469-203,S469-203,S469-203,true,Severe,Deploy standby bus or supervisor review,30,1,37.766,56.467
Bus,871,871 - Constellation Station / Takapuna Via Forrest Hill Rd,871-202,false,Severe,Deploy standby bus or supervisor review,29,5,25.006,33.317
Unknown / unmatched route,S012B-203,S012B-203,S012B-203,true,Medium,Monitor route conditions,29,1,-2.08,7.367
Unknown / unmatched route,S461-203,S461-203,S461-203,true,Severe,Deploy standby bus or supervisor review,29,3,35.652,45.733
Bus,866,866 - Albany Stn / Newmarket Via Ponsonby And Auckland Hospital,866-203,false,Severe,Deploy standby bus or supervisor review,29,6,21.48,29.867
Bus,805,805 - Devonport Wharf / Belmont Shops Via Ngataringa Rd,805-202,false,Severe,Deploy standby bus or supervisor review,29,3,28.613,30.433
Bus,739,739 - Maraetai And Beachlands / Botany Via Whitford And Ormiston,739-221,false,Severe,Deploy standby bus or supervisor review,29,2,53.386,102.867
Bus,298,298 - Onehunga / Sylvia Park Via Ellerslie,298-221,false,Severe,Deploy standby bus or supervisor review,28,2,36.784,41.133
Bus,191,191 - Lynfield / New Lynn Via Blockhouse Bay And Avondale,191-203,false,Severe,Deploy standby bus or supervisor review,28,3,61.107,75.933
Bus,162,162 - Henderson / New Lynn via Glendene,162-202,false,Severe,Deploy standby bus or supervisor review,28,4,51.332,68.033
Bus,25B,25B - Blockhouse Bay / City Centre Via Dominion Rd,25B-202,false,Severe,Deploy standby bus or supervisor review,28,5,44.558,73.717
Unknown / unmatched route,S530-202,S530-202,S530-202,true,Medium,Monitor route conditions,28,1,5.794,6.833
Unknown / unmatched route,S435-221,S435-221,S435-221,true,Medium,Monitor route conditions,28,2,-2.532,5.45
Unknown / unmatched route,S519-202,S519-202,S519-202,true,Medium,Monitor route conditions,28,1,-6.008,-5.383
Bus,11W,11W - Northwest / City Centre Via Waimumu Rd,11W-207,false,Severe,Deploy standby bus or supervisor review,28,5,24.658,61.55
Unknown / unmatched route,S019A-218,S019A-218,S019A-218,true,Medium,Monitor route conditions,28,2,5.999,7.683
Unknown / unmatched route,S541-202,S541-202,S541-202,true,Medium,Monitor route conditions,28,1,7.935,12.15
Bus,111,111 - Royal Heights Loop,111-203,false,Severe,Deploy standby bus or supervisor review,28,3,43.261,51.517
Unknown / unmatched route,S013A-218,S013A-218,S013A-218,true,Medium,Monitor route conditions,27,2,-4.764,6.483
Bus,50B,50B - Onetangi (Fourth Ave) / Matiatia Wharf,50B-217,false,Severe,Deploy standby bus or supervisor review,27,4,58.975,119.8
Unknown / unmatched route,S053E-202,S053E-202,S053E-202,true,Medium,Monitor route conditions,27,1,3.967,11.267
Unknown / unmatched route,S065-202,S065-202,S065-202,true,Medium,Monitor route conditions,27,1,3.34,10.767
Unknown / unmatched route,S042C-202,S042C-202,S042C-202,true,Medium,Monitor route conditions,27,1,3.993,12.567
Bus,122,122 - Huapai North / Westgate Via Kumeu,122-202,false,High,Adjust service headway,27,5,17.798,19.117
Unknown / unmatched route,S042B-202,S042B-202,S042B-202,true,Medium,Monitor route conditions,27,1,-5.718,-5.35
Unknown / unmatched route,S051-202,S051-202,S051-202,true,Medium,Monitor route conditions,27,1,6.429,7.4
Unknown / unmatched route,S066-202,S066-202,S066-202,true,Medium,Monitor route conditions,27,1,4.14,14.367
Unknown / unmatched route,S011A-218,S011A-218,S011A-218,true,Medium,Monitor route conditions,27,3,5.865,6.75
Bus,RBO,RBO - Newmarket / Onehunga Onehunga Rail Bus,RBO-402,false,High,Adjust service headway,26,3,18.586,23.55
Bus,311,311 - Otahuhu Station / Otahuhu Station via Mangere Bridge,311-203,false,Severe,Deploy standby bus or supervisor review,26,8,34.263,60.65
Unknown / unmatched route,S077B-203,S077B-203,S077B-203,true,Medium,Monitor route conditions,26,1,6.591,8.983
Unknown / unmatched route,S041-203,S041-203,S041-203,true,Medium,Monitor route conditions,26,1,1.439,12.467
Bus,884,884 - Constellation Station / NHIE Loop Anticlockwise,884-203,false,High,Adjust service headway,25,4,18.428,21.267
Bus,27T,27T - Britomart / Three Kings Via Mt Eden Rd,27T-202,false,High,Adjust service headway,25,2,-15.571,-15.283
Unknown / unmatched route,S416-205,S416-205,S416-205,true,High,Adjust service headway,25,2,17.583,19.717
Bus,735,735 - Botany / Half Moon Bay Via Cockle Bay And Howick,735-221,false,High,Adjust service headway,25,6,17.15,19.283
Bus,143,143 - Ranui / Henderson via Sturges Rd,143-203,false,Severe,Deploy standby bus or supervisor review,25,3,40.51,56.4
